3123;montenegro-caravansites.gpx;;3123;montenegro-caravansites.gpx;;0
50195;montenegro-fuel.gpx;;50195;montenegro-fuel.gpx;;0
29207;north-macedonia-campsites.gpx;;29207;north-macedonia-campsites.gpx;;0
5566;north-macedonia-caravansites.gpx;;5566;north-macedonia-caravansites.gpx;;0
136512;north-macedonia-supermarkets.gpx;;136512;north-macedonia-supermarkets.gpx;;0
5538;romania-caravansites.gpx;;5538;romania-caravansites.gpx;;0
3435;san-marino-campsites.gpx;;3435;san-marino-campsites.gpx;;0
1168;san-marino-caravansites.gpx;;1168;san-marino-caravansites.gpx;;0
3620;san-marino-fuel.gpx;;3620;san-marino-fuel.gpx;;0
1879;san-marino-supermarkets.gpx;;1879;san-marino-supermarkets.gpx;;0
4195;serbia-caravansites.gpx;;4195;serbia-caravansites.gpx;;0
77838;slovakia-campsites.gpx;;77838;slovakia-campsites.gpx;;0
13586;slovakia-caravansites.gpx;;13586;slovakia-caravansites.gpx;;0
1678;svalbard-and-jan-mayen-campsites.gpx;;1678;svalbard-and-jan-mayen-campsites.gpx;;0
1519;svalbard-and-jan-mayen-fuel.gpx;;1519;svalbard-and-jan-mayen-fuel.gpx;;0
2184;svalbard-and-jan-mayen-supermarkets.gpx;;2184;svalbard-and-jan-mayen-supermarkets.gpx;;0
103452;moldova-campsites.gpx;;103456;moldova-campsites.gpx;;4
235073;moldova-supermarkets.gpx;;235109;moldova-supermarkets.gpx;;36
170645;north-macedonia-fuel.gpx;;170698;north-macedonia-fuel.gpx;;53
1290616;norway-campsites.gpx;;1290674;norway-campsites.gpx;;58
347171;georgia-fuel.gpx;;347422;georgia-fuel.gpx;;251
40298;serbia-campsites.gpx;;40590;serbia-campsites.gpx;;292
107580;poland-caravansites.gpx;;107910;poland-caravansites.gpx;;330
193986;slovenia-campsites.gpx;;194340;slovenia-campsites.gpx;;354
369717;hungary-campsites.gpx;;370077;hungary-campsites.gpx;;360
637879;lithuania-supermarkets.gpx;;638324;lithuania-supermarkets.gpx;;445
16191;cyprus-campsites.gpx;;16733;cyprus-campsites.gpx;;542
1224914;czech-republic-fuel.gpx;;1225625;czech-republic-fuel.gpx;;711
1734779;austria-fuel.gpx;;1735563;austria-fuel.gpx;;784
3654;bosnia-and-herzegovina-caravansites.gpx;;4685;bosnia-and-herzegovina-caravansites.gpx;;1031
196925;cyprus-supermarkets.gpx;;198155;cyprus-supermarkets.gpx;;1230
18088;luxembourg-caravansites.gpx;;19866;luxembourg-caravansites.gpx;;1778
78515;croatia-caravansites.gpx;;80468;croatia-caravansites.gpx;;1953
766020;belgium-campsites.gpx;;768327;belgium-campsites.gpx;;2307
